Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'39202010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,312,2826
'84431300,"Offset printing machinery (excluding sheet fed offset printing machinery, sheet size <= 22 ...",6167,3778,6972,2327,3837,9409,3334,6587,2509,2822
'84741000,"Sorting, screening, separating or washing machines for solid mineral substances, incl. those ...",2334,4518,1918,771,1318,1894,3570,3370,1690,2813
'82019010,"Scythes, sickles, hay knives, timber wedges and other hand tools of a kind used in agriculture, ...",1996,2288,2055,2344,2571,3020,2379,2893,1822,2805
'84283300,"Continuous-action elevators and conveyors for goods or materials, belt type (excluding those ...",1620,2507,2084,2302,7897,6619,11626,7836,1873,2797
'68138100,"Brake linings and pads, with a basis of mineral substances or cellulose, whether or not combined ...",1564,2741,2793,3434,3892,3689,2659,3883,3555,2794
'29054500,Glycerol,1750,1256,2495,1726,2158,1697,3309,3434,2918,2790
'87051021,Crane lorries (excluding breakdown lorries): of age not exceeding four years,0,0,0,0,0,0,0,577,329,2785
'94021010,"Dentists', barbers' or similar chairs having rotating as well as both reclining and elevating ...",808,864,2142,1676,2422,2265,2190,1333,4147,2773
'68042200,"Millstones, grindstones, grinding wheels and the like, without frameworks, for sharpening, ...",464,723,1663,2717,2893,3546,1847,2702,2503,2772
'17041000,"Chewing gum, whether or not sugar-coated",4137,7047,5559,7835,7368,7639,7055,7183,6559,2770
'76041020,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.: profiles",0,0,0,0,0,0,0,0,,2753
'94051010,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,0,0,0,0,0,0,0,0,5,2738
'39249000,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",1700,1971,2086,2013,2987,4114,3422,5375,3667,2718
'85285990,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",0,0,0,0,0,0,0,213,1198,2708
'84459000,Machines for producing textile yarns and machines for preparing textile yarns for use on machines ...,1524,3947,4084,2974,1635,1888,2373,5488,2199,2672
'90279000,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",3687,1026,1417,755,2376,1082,2805,2183,1684,2671
'39044000,"Vinyl chloride copolymers, in primary forms (excluding vinyl chloride-vinyl acetate copolymers)",477,344,383,621,19,1785,228,182,105,2656
'34021190,"Anionic organic surface-active agents, whether or not put up for retail sale (excluding soap): ...",265,195,289,807,741,2657,1294,3068,4661,2655
'28331100,Disodium sulphate,336,1001,1281,1124,866,539,414,1201,2416,2652
'40117000,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,0,0,272,1391,2641
'60019200,"Pile fabrics of man-made fibres, knitted or crocheted (excluding ""long pile"" fabrics)",771,1198,312,1144,458,800,1445,2693,2801,2638
'20081900,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",211,164,614,1329,3834,4943,10206,6812,7825,2637
'86090000,"Containers, incl. containers for the transport of fluids, specially designed and equipped for ...",5234,5057,10976,9482,12216,6207,6339,5305,4646,2636
'87054012,Concrete-mixer lorries: completely built up (cbu),0,0,0,0,0,0,0,665,3667,2634
'90181300,Magnetic resonance imaging apparatus,15,2096,16,1269,347,4,4394,1233,709,2629
'33049910,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",0,0,0,0,0,0,0,0,1004,2629
'73044900,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, ...",547,201,326,1772,3183,977,1239,880,698,2625
'87032327,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,531,3392,2623
'17023000,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter ...",2161,2054,2163,2414,2344,2270,1663,2234,1227,2622
'70080000,Multiple-walled insulating units of glass,17,511,1385,1196,266,694,2149,2720,2746,2620
'39219010,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly ...",0,0,0,0,0,0,0,0,108,2617
'84264900,"Mobile cranes and works trucks fitted with a crane, self-propelled (excluding those on tyres ...",576,125,4193,32,624,163,7130,259,1031,2600
'04029900,"Milk and cream, concentrated and sweetened (excluding in solid forms)",912,1130,1543,1612,1097,1890,1344,636,740,2598
'09109900,"Spices (excluding pepper of the genus piper, fruit of the genus capsicum or of the genus pimenta, ...",105,51,375,249,210,359,601,916,3372,2593
'85076010,Lithium-ion accumulators (excluding spent): semi knoked down (ckd) to be assembled by domestic ...,0,0,786,1283,1697,1643,1082,1132,1144,2592
'24012000,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",6224,7450,5035,5069,8661,2607,9386,12137,3932,2591
'10059000,Maize (excluding seed for sowing),1545,1687,2607,3349,4225,20433,9508,46351,30347,2587
'85013200,Dc motors and dc generators of an output > 750 w but <= 75 kw,2310,1806,4550,7085,3301,4791,3260,4324,4385,2585
'94013000,"Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, ...",1130,1501,1968,1805,1931,4861,3364,1119,2265,2585
'39042100,"Non-plasticised poly""vinyl chloride"", in primary forms, mixed with other substances",1157,1162,1920,1667,3746,3013,2484,4239,5502,2568
'84283200,"Continuous-action elevators and conveyors for goods or materials, bucket type (excluding for ...",209,1064,1241,565,1271,1753,304,1224,1611,2563
'59039000,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""vinyl ...",1519,1515,1197,1211,1232,1007,866,1276,1758,2547
'72089000,"Flat-rolled products of iron or steel, of a width >= 600 mm, hot-rolled and further worked, ...",8844,4323,11667,11531,8590,13651,2054,1767,1265,2546
'39232190,"Sacks and bags, incl. cones, of polymers of ethylene: other",374,670,981,1177,1246,1773,1477,2955,4445,2543
'94054020,"Electric lamps and lighting fittings, n.e.s.: other, solely designed for led or cfl",0,0,0,0,0,0,0,833,1380,2538
'73249000,"Sanitary ware, incl. parts thereof (excluding cans, boxes and similar containers of heading ...",1633,2428,3183,3149,2881,4193,3920,3978,3100,2533
'76041000,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.",2287,3295,3622,7246,8277,8126,8038,6168,4330,2522
'72083600,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",224,4,61,92,84,10,3,1205,85,2520
'32141000,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' ...",509,1110,1681,883,2110,3177,2097,2587,1800,2519
'85183030,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",0,0,0,0,0,0,0,0,2274,2515
'82055900,"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.",1922,2236,3910,5554,4537,4618,5239,4354,4093,2508
'72131000,"Bars and rods, hot-rolled, in irregularly wound coils of iron or non-alloy steel, with indentations, ...",1594,747,1512,3128,1664,1985,6325,1181,7586,2505
'90185000,"Ophthalmic instruments and appliances, n.e.s.",396,569,292,742,421,1012,528,5785,951,2494
'39239000,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",1255,986,1460,2882,2152,3833,4080,4503,5492,2490
'72109000,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...",1329,909,2381,2477,4361,3996,6735,3715,7329,2485
'62069000,"Women's or girls' blouses, shirts and shirt-blouses of textile materials (excluding of silk, ...",731,656,5637,991,559,612,405,121,1421,2482
'33074100,"""agarbatti"" and other odoriferous preparations which operate by burning",3315,4500,4834,2747,3380,3003,3081,4286,5647,2479
'95069900,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,374,313,650,823,843,889,1819,1309,644,2479
'10051000,Maize seed for sowing,762,2509,2051,2830,2000,1446,4632,2232,1704,2473
'64041900,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,1505,2009,1476,1363,3600,5671,7231,8706,3459,2472
'87042211,"Motor vehicles for the transport of goods, with compression-ignition internal combustion piston ...",0,0,0,0,0,0,0,0,3241,2470
'68029100,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",191,390,700,832,302,497,1231,416,1378,2468
'85171800,Telephone sets (excluding line telephone sets with cordless handsets and telephones for cellular ...,1690,3000,37873,13259,4790,8030,2619,3591,3442,2466
'87054010,Concrete-mixer lorries: new,0,0,0,0,0,0,0,0,,2463
'39189000,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles, ...",0,0,0,0,0,0,0,0,,2454
'73072900,"Tube or pipe fittings of stainless steel (excluding cast products, flanges, threaded elbows, ...",1814,27169,10867,3859,3181,6668,3293,4820,3503,2441
'85182990,"Loudspeakers, without enclosure: other",0,0,0,0,0,0,0,1754,6784,2436
'49011000,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",1823,3421,4955,7878,20087,3327,7840,34409,3894,2430
'95069100,"Articles and equipment for general physical exercise, gymnastics or athletics",2317,1560,2886,1421,1887,2757,1962,1931,2258,2429
'64051000,"Footwear with uppers of leather or composition leather (excluding with outer soles of rubber, ...",587,490,309,976,973,1706,3255,1034,2287,2422
'87059011,Special purpose motor vehicles (other than those principally designed for the transport of ...,0,0,0,0,0,0,0,779,3261,2412
'72171000,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excluding ...",4084,4413,8066,3015,4433,4965,3299,10442,4230,2403
'32089000,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",2114,3377,5173,4095,8459,13390,4694,5311,3958,2399
'64059000,"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...",1540,3593,5703,5904,6630,11818,6511,5019,2363,2398
'70071190,"Toughened ""tempered"" safety glass, of size and shape suitable for incorporation in motor vehicles, ...",956,1279,1387,1433,1621,2009,1456,2222,2263,2397
'90200000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,325,716,1079,1343,2001,891,1178,649,3094,2388
'84641000,"Sawing machines for working stone, ceramics, concrete, asbestos-cement or like mineral materials ...",245,438,256,567,547,2918,931,1828,1527,2383
'55096900,"Yarn containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, other ...",0,104,0,205,312,462,1428,1599,1553,2381
'84261100,Overhead travelling cranes on fixed support,6079,2334,13194,9642,4291,7740,3689,6699,4196,2375
'55032000,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",1485,1601,973,1353,469,1174,1391,1070,1183,2373
'21069010,"Food preparations, n.e.s.: infant or invalid foods;flavoured or coloured syrups(excl fruit ...",863,3326,312,9926,8157,3503,638,1296,1938,2370
'76141000,"Stranded wire, cables, plaited bands and the like, of aluminium, with steel core (excluding ...",1481,17131,104395,146033,872,21448,1796,35,13,2367
'27121000,Petroleum jelly,3848,4737,3127,4497,3957,3693,1892,5527,2191,2362
'09041100,"Pepper of the genus piper, neither crushed nor ground",106,42,88,730,72,135,42,112,564,2356
'68071000,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",1063,1327,1727,5563,2834,2544,1907,3752,3204,2352
'35069100,Adhesives based on polymers of heading 3901 to 3913 or on rubber (excluding products suitable ...,2380,3271,2636,2674,2993,3035,1944,2813,2309,2350
'74071000,"Bars, rods and profiles, of refined copper, n.e.s.",322,1304,1003,3088,999,233,1245,989,1258,2334
'84149090,"Parts of : air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",2378,3285,2912,1938,2414,2615,2015,2425,1993,2331
'85072090,Lead acid accumulators (excluding spent and starter batteries): other,260,267,906,11854,5621,2774,557,2070,5339,2325
'63019000,"Blankets and travelling rugs of textile materials (excluding of wool or fine animal hair, cotton ...",631,868,3750,3250,2555,2278,3056,753,1033,2325
'39221000,"Baths, shower-baths, sinks and washbasins, of plastics",1641,1826,1704,2349,1688,2147,2501,1640,2249,2324
'82159900,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",2384,1577,3718,2258,3167,2878,2797,4404,2797,2322
'57011000,"Carpets and other textile floor coverings, of wool or fine animal hair, knotted, whether or ...",55,216,137,362,328,619,1820,2070,1913,2318
'68091900,"Boards, sheets, panels, tiles and similar articles, of plaster or compositions based on plaster ...",827,427,459,2102,1571,4452,790,1116,2596,2318
'39172200,"Rigid tubes, pipes and hoses of polymers of propylene",141,400,435,1135,2019,1635,1088,1770,1370,2314
'39013000,"Ethylene-vinyl acetate copolymers, in primary forms",8426,6178,6440,5072,6254,11874,5397,7549,,2311
'32049000,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",668,666,507,557,890,1235,1130,1745,1551,2308
'33061000,"Dentifrices, incl. those used by dental practitioners",2825,1088,1724,3169,2101,4230,4017,2075,2463,2299
'29411000,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,5966,8253,8406,9039,9825,10060,8426,8023,6508,2298
'55092200,"Multiple ""folded"" or cabled yarn containing >= 85% polyester staple fibres by weight (excluding ...",0,0,1921,5365,8339,7432,6980,5904,4590,2297
'84713090,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",439,943,3067,1657,1296,3332,1665,3101,4766,2296
'85182210,"Multiple loudspeakers, mounted in the same enclosure: presented skd for the assembly industry",0,0,0,0,0,0,0,861,3006,2295
'85131010,Portable electrical lamps designed to function by their own source of energy: minersnull safety ...,20,57,53,38,50,267,58,570,344,2294
'39199010,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",0,0,0,0,0,0,0,0,33,2294
'84714120,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",0,0,0,0,0,0,0,0,,2290
'54034100,"Multiple ""folded"" or cabled filament yarn of viscose rayon, incl. monofilament of < 67 decitex ...",711,615,3532,3406,4996,2480,2584,1998,3557,2275
